character,in_degree_centrality,out_degree_centrality
三月七,0.15384615384615385,0.1076923076923077
丹恒•饮月,0.15384615384615385,0.07692307692307693
姬子,0.15384615384615385,0.09230769230769231
瓦尔特,0.1076923076923077,0.07692307692307693
彦卿,0.16923076923076924,0.13846153846153847
云璃,0.07692307692307693,0.09230769230769231
丹恒,0.2153846153846154,0.07692307692307693
星期日,0.1076923076923077,0.1076923076923077
刃,0.13846153846153847,0.1076923076923077
大黑塔,0.09230769230769231,0.09230769230769231
卡芙卡,0.046153846153846156,0.06153846153846154
银狼,0.06153846153846154,0.06153846153846154
流萤,0.06153846153846154,0.09230769230769231
阿兰,0.046153846153846156,0.046153846153846156
艾丝妲,0.06153846153846154,0.06153846153846154
黑塔,0.07692307692307693,0.07692307692307693
托帕&账账,0.06153846153846154,0.07692307692307693
阮•梅,0.06153846153846154,0.046153846153846156
布洛妮娅,0.07692307692307693,0.046153846153846156
希儿,0.09230769230769231,0.06153846153846154
佩拉,0.06153846153846154,0.06153846153846154
杰帕德,0.06153846153846154,0.06153846153846154
卢卡,0.046153846153846156,0.06153846153846154
虎克,0.07692307692307693,0.07692307692307693
娜塔莎,0.07692307692307693,0.06153846153846154
希露瓦,0.046153846153846156,0.06153846153846154
玲可,0.046153846153846156,0.046153846153846156
桑博,0.046153846153846156,0.06153846153846154
克拉拉,0.03076923076923077,0.046153846153846156
花火,0.06153846153846154,0.06153846153846154
砂金,0.12307692307692308,0.1076923076923077
翡翠,0.06153846153846154,0.046153846153846156
青雀,0.046153846153846156,0.07692307692307693
灵砂,0.09230769230769231,0.13846153846153847
符玄,0.07692307692307693,0.06153846153846154
藿藿,0.06153846153846154,0.06153846153846154
桂乃芬,0.046153846153846156,0.06153846153846154
停云,0.015384615384615385,0.046153846153846156
白露,0.09230769230769231,0.07692307692307693
驭空,0.07692307692307693,0.1076923076923077
景元,0.2,0.13846153846153847
罗刹,0.015384615384615385,0.09230769230769231
镜流,0.046153846153846156,0.07692307692307693
素裳,0.1076923076923077,0.1076923076923077
飞霄,0.12307692307692308,0.12307692307692308
椒丘,0.12307692307692308,0.12307692307692308
雪衣,0.046153846153846156,0.07692307692307693
忘归人,0.03076923076923077,0.03076923076923077
寒鸦,0.03076923076923077,0.046153846153846156
加拉赫,0.03076923076923077,0.03076923076923077
米沙,0.03076923076923077,0.03076923076923077
知更鸟,0.09230769230769231,0.046153846153846156
银枝,0.015384615384615385,0.06153846153846154
真理医生,0.03076923076923077,0.06153846153846154
黑天鹅,0.07692307692307693,0.1076923076923077
黄泉,0.06153846153846154,0.07692307692307693
波提欧,0.046153846153846156,0.1076923076923077
乱破,0.015384615384615385,0.06153846153846154
貊泽,0.06153846153846154,0.06153846153846154
阿格莱雅,0.09230769230769231,0.09230769230769231
遐蝶,0.09230769230769231,0.09230769230769231
风堇,0.09230769230769231,0.09230769230769231
赛飞儿,0.09230769230769231,0.09230769230769231
那刻夏,0.09230769230769231,0.09230769230769231
万敌,0.09230769230769231,0.09230769230769231
缇宝,0.09230769230769231,0.09230769230769231
